transaction_id,step,customer_id,destination_account,transaction_type,country,device_type,channel,amount,fraud_score,expected_loss,priority_score,alert_severity,investigation_status,alert_reason
4441,4,C7162498,C945327594,TRANSFER,UK,mobile,app,10000000.0,1.0,10000000.0,10001750.0,HIGH,ESCALATED,Cross-border transaction with elevated risk
4442,4,C351297720,C766681183,CASH_OUT,UK,desktop,app,10000000.0,0.9034,9034000.0,9035750.0,HIGH,ESCALATED,Cross-border transaction with elevated risk
10397,7,C1588880909,C1570256460,CASH_OUT,DK,mobile,branch,5460002.91,1.0,5460002.91,5461752.91,HIGH,ESCALATED,Cross-border transaction with elevated risk
10396,7,C666654362,C1726301214,TRANSFER,NL,desktop,app,5460002.91,1.0,5460002.91,5460752.91,HIGH,ESCALATED,Cross-border transaction with elevated risk
46200,9,C1415045789,C1552859894,TRANSFER,UK,desktop,web,4764218.76,0.8319,3963353.59,3965103.59,HIGH,ESCALATED,Cross-border transaction with elevated risk
44943,9,C1017653240,C1297685781,TRANSFER,DK,mobile,web,4626419.46,0.8478,3922278.42,3924028.42,HIGH,ESCALATED,Cross-border transaction with elevated risk
49555,9,C1439438217,C1354725727,TRANSFER,DK,mobile,web,4203370.0,0.8234,3461054.86,3462804.86,HIGH,ESCALATED,Cross-border transaction with elevated risk
22159,8,C1012349956,C1948558238,TRANSFER,DK,desktop,app,3932449.48,0.85,3342582.06,3344332.06,HIGH,ESCALATED,Cross-border transaction with elevated risk
36046,9,C49020396,C28588268,TRANSFER,DK,desktop,app,3845925.14,0.85,3269036.37,3270786.37,HIGH,ESCALATED,Cross-border transaction with elevated risk
36037,9,C428323998,C346008447,TRANSFER,DK,mobile,app,3995031.22,0.8121,3244364.85,3246114.85,HIGH,ESCALATED,Cross-border transaction with elevated risk
20574,8,C1971377869,C1220897602,TRANSFER,DE,mobile,web,3778558.18,0.85,3211774.45,3213524.45,HIGH,ESCALATED,Cross-border transaction with elevated risk
1154,1,C197491520,C1883840933,TRANSFER,NL,mobile,app,3776389.09,0.85,3209930.73,3211680.73,HIGH,ESCALATED,Cross-border transaction with elevated risk
42341,9,C1881678729,C241685431,TRANSFER,UK,mobile,atm,4201421.61,0.7613,3198542.27,3199292.27,HIGH,ESCALATED,Cross-border transaction with elevated risk
26675,8,C1856743149,C1787868648,TRANSFER,ES,desktop,app,3989315.7,0.786,3135602.14,3137352.14,HIGH,ESCALATED,Cross-border transaction with elevated risk
24219,8,C2138204664,C44870833,TRANSFER,UK,desktop,web,3593281.81,0.85,3054289.54,3056039.54,HIGH,ESCALATED,Cross-border transaction with elevated risk
27535,8,C1943414301,C863811613,TRANSFER,IT,mobile,web,3498660.78,0.8473,2964415.28,2966165.28,HIGH,ESCALATED,Cross-border transaction with elevated risk
38148,9,C691740926,C465499079,TRANSFER,FR,desktop,atm,3685404.11,0.7826,2884197.26,2885947.26,HIGH,ESCALATED,Cross-border transaction with elevated risk
19597,8,C524541191,C2032924554,TRANSFER,ES,desktop,branch,3380634.34,0.85,2873539.19,2875289.19,HIGH,ESCALATED,Cross-border transaction with elevated risk
14051,8,C129339892,C991505714,TRANSFER,DE,mobile,web,3457807.35,0.8155,2819841.89,2821591.89,HIGH,ESCALATED,Cross-border transaction with elevated risk
19174,8,C213510528,C345603257,TRANSFER,DK,mobile,app,3226604.31,0.85,2742613.66,2744363.66,HIGH,ESCALATED,Cross-border transaction with elevated risk
35334,9,C173373802,C804475266,TRANSFER,UK,mobile,app,3437775.31,0.7945,2731312.48,2733062.48,HIGH,ESCALATED,Cross-border transaction with elevated risk
29212,8,C1893847755,C257999182,TRANSFER,ES,mobile,branch,3520997.05,0.7575,2667155.27,2668905.27,HIGH,ESCALATED,Cross-border transaction with elevated risk
